,,,,,,
,id,name,description,created_at,updated_at,deleted_at
,b880af29-23ea-4eda-810d-0905e1fb2292,Wi-Fi,High-speed wireless internet access,18/1/2025 9:24:35,2/3/2025 14:12,
,dcb1042a-8f7e-4c48-9269-e3846a5df502,Air conditioning,Air conditioning available in the room or property,6/2/2025 11:38,21/5/2025 8:44:52,
,8a616c08-175f-49a4-b4f9-8102c7e37bf1,Parking,On-site or nearby parking space available,14/3/2025 16:05:49,9/7/2025 10:27,
,3cc17b44-0fbb-4afb-9c48-d306f33f1e42,Kitchen,Kitchen or kitchenette available for guest use,2/4/2025 7:19,19/4/2025 18:53:44,
,aa3850f5-e4c1-461a-ac6e-f3434ee2d3be,Washing machine,Washing machine available for guest laundry,27/5/2025 13:42:10,3/9/2025 15:06,
,2664ac73-bc80-4513-b02d-ca534359c8ab,Swimming pool,Swimming pool available on the property,11/6/2025 20:15,24/10/2025 9:31:57,1/12/2025 12:08
,24f19ada-1796-4b02-b0e4-592f27ef629e,Gym,Fitness room or gym equipment available,23/7/2025 6:48:55,16/11/2025 17:22:14,
,954c4b21-849f-46ca-a65b-7fc4cf703831,BBQ area,Outdoor barbecue area available for guests,9/8/2025 10:33,28/12/2025 21:05:36,
,8e87bc7a-9f86-4709-a2dd-3eca884db81a,Pet friendly,Guests are allowed to bring pets,15/9/2025 14:57:22,6/1/2026 8:18,10/2/2026 16:40
,3e1c5a78-8c36-4162-9df0-3a740e150aac,Breakfast,Breakfast service or breakfast ingredients provided,30/10/2025 8:11:06,17/3/2026 19:49:33,
